Name,RA (1950),Dec m_Zw,V_h,sig sour,Ty,D1,D2,BT   UGC,CfARFN,Comments
I1697,12228.9,111614.9,8707,7111605,15,1.2,0.8,976,,
N 523,12229.8,33455313.5,4750,1012212,15,3.2,0.8,979,T04128,"IVZw45,Arp158"
I 107,12230,14370015.4,6356,4012700,5A,1.2,1,978,T17370,
I1695,12230.4,8262115.4,14825,4012760,,1.8,1.6,977,T02207,A193cD
01226+0202,12236,2020015.5,6141,3112728,20,1.1,0.8,981,T08829,
I 109,12236,1480014.9,9715,2912728,-2B,1.2,1,980,T08826,
I1698,12236,14350014.9,6503,1812700,-2,1.7,0.8,983,T04152,Turner 147A
N 532,12239.5,9001813.5,2361,110658,1,2.8,0.9,982,T00508,
01227+1416,12242,14160015.2,11095,2212700,3A,1.8,0.5,985,S19644,
01227+3153,12242.7,31523614,4658,512212,1,2.6,0.8,987,T04112,"Sy2,MK993"
N 528,12244.6,33244513.7,4879,2812700,-2,1.8,1.1,988,T13305,
I1700,12244.7,14361314.3,6356,1912712,-7,2,2,986,T04151,Turner 147B
01227-0146,12244.9,-1464014.8,4854,2812728,-2,1.3,0.4,984,T07444,
N 529,12249.9,34271213.1,4862,2212748,-3,2.4,2.1,13.0700995,T07406,HCG10B
N 538,12253,-1483914.7,5107,7111605,3,1.5,0.9,991,,
01229+0952,12254,9520015.5,13879,5412700,,,,,,
N 533,12257,1300013.4,4 5544,1802760,-5,4,3,12.5000992,S02613,
N 535,12257.9,-1400414.9,4906,1715521,-2,0.9,0.25,997,T07441,
01230-0145,12259.1,-1454614.8,5785,1715521,-2B,1,0.22,996,T07443,
01231+0055,12306,550015.4,5836,3812731,,,,,T10356,AK44
I1701,12308.8,17554015.3,8431,271-1,,1.5,1,1002,T17145,
N 541,12311.1,-1382114,5443,1312324,-3,2.4,2.4,13.0001004,T00779,"3C40,Arp133"
01232-0142,12311.4,-1430115,5237,1715521,-2,1,0.3,1003,T07440,
01232-0135,12312,-1350015.2,5510,3712728,,,,,T07456,
A0123-0145,12315.4,-1451315.5,5046,58H2700,,,,,T07442,
I1702,12315.5,16203314.5,4206,3712700,5A,1.5,1.2,1005,T03759,
N 543,12317.1,-1331315,5296,1715521,-5,,,14.4,T07458,
01233+0114,12318,1140015.3,5837,3612728,0,1.2,1.1,1006,T10191,
01233-0134,12318.5,-1343815.2,5509,4312728,,,,,T07457,
01234+3309,12322.9,33084415,5117,3012700,,,,,T10512,MK1155
I 112,12324.2,11110314.2,5810,4112700,5:00 PM,0.9,0.4,1008,T04408,AK46
N 545,12326.1,-1355913.7,5341,1012323,-3A,3,2,13.0301007,S02183,"3C40,Arp308,KDG32A"
N 547,12327.5,-1361813.4,5524,1612700,-5,1.5,1.5,13.3501009,S02182,"3C40,Arp308,KDG32B"
N 531,12328.4,34294214.9,4660,3212748,0B,1.9,0.5,14.9401012,T07407,"HCG10C, 5208 8 (2212)"
N 548,12329.3,-1290615.1,5410,812324,-3,1.2,1.1,14.360101,T07459,
N 536,12331.2,34264013.2,5191,512212,3B R,3.4,1.7,13.3601013,T07405,HCG10A
01236+4808,12336.7,48080115.3,10420,20012411,,,,,,VZw68
N 542,12340.4,34245615.4,4662,812212,6,0.5,0.1,15.54,T07408,HCG10D
01237+0601,12342,6010015.2,2132,110651,10,1.6,1.6,1014,,
01237+3122,12345,31211315,13552,712212,6,0.8,0.6,,,"MK358,MCG 5-4-59"
I1703,12352.3,-1535914.9,5547,3112700,-1B T,2,1.2,1016,T10189,
01240+1700,12403,17002615,2544,3412700,20,1.4,0.6,1020,T17371,
01241+3845,12404.1,38453114.8,5531,331-1,20,1.2,1,1022,T19928,
N 550,12407.6,1454513.6,5829,2412760,1,2,1,1021,T00541,
01241-0134,12410.5,-1335615.2,5021,7112000,,,,,,
I 115,12412,18570015.5,12796,2812700,,,,15.3,,
01242-0114,12416.9,-1135815.2,4850,3912700,-2,,,,T07521,MK570
01243+1543,12418,15430015,6135,361-1,,,,,T17372,
01243-0016,12422.3,-162215.4,5572,2812728,,,,,T08789,
01244+1820,12422.6,18201715,5860,2712700,0,1.1,1.1,1025,T15148,
I1706,12429.2,14310114.2,6441,4312700,6:00 PM,1.2,0.8,1027,T17200,
01245+1022,12430,10220015.5,14250,3412700,,,,,T11640,
01246+0200,12436,2000015,6237,2712728,20,1,0.5,1028,T08780,
01247-0131,12443.1,-1315014.9,4853,1715521,-7,1.1,0.6,1030,T07522,
N 558,12443.6,-2135115,4956,3012700,-5,,,,T07523,
01248+3118,12446.2,31174414.4,4037,612212,5,3.4,0.7,1033,T02720,
01248+4833,12446.9,48333815.4,6609,1 002,3,1.5,0.8,1035,,
01248+1435,12448,14350015.4,6481,3412700,,,,,T12131,
N 551,12448.3,36552613.5,5191,6912700,4B,2,0.8,1034,T19950,
01249+4254,12449.9,42534415.4,15514,5012700,3A,1.2,0.6,1037,T24915,
01248+1855,12450.3,18551113.8,5012,3512700,-2B R,0.7,0.5,1032,T02335,MK359
N 560,12452.5,-2101914,5510,1715521,-3,2,0.6,13.8501036,T17315,
01250-0121,12502.8,-1214914.8,4489,1715521,0,1.4,0.2,1040,T07742,
01250+4859,12503.7,48585714.9,6406,5712700,-2,1.5,0.7,1042,T25096,
01251-0123,12509.9,-1235415.1,5179,3312700,-7,1,0.9,1043,T07743,
01252+3147,12511.6,31462815.1,6416,612212,20,1.3,0.35,1045,,
N 564,12515.1,-2081713.8,5836,1715521,-5,1.9,1.5,13.4501044,T17316,
I 119,12522.3,-2175615,5712,7111605,0B R,1.6,0.8,1047,,
01253+0153,12522.4,1530115,5401,3312728,,,,,T08781,
01250+8446,12526.1,84450915.4,5281,1012212,4,1.7,0.9,1039,T17731,
01255+3958,12526.2,39575715.5,7398,361-1,,,,,T19927,
N 562,12527.7,48074314.5,10253,1012212,5A T,1.4,1.2,1049,,
N 561,12528.2,34025914.1,4623,2812754,1B,1.7,1.5,1048,T13467,
01255+3738,12531.1,37380615.4,5142,181-1,,,,,T23060,
N 565,12536.9,-1335414.5,4505,2312700,1,1.5,0.5,1052,T02477,
I 120,12540.3,-2102615.2,4806,1715521,-5,,,,T08889,
01257+1611,12542,16100015.2,11380,3712700,-1,0.4,0.2,,,"KDG33B,MCG 3-4-42"
01257+1613,12542,16130015.5,11485,3812700,,0.6,,,,"KDG33A,MCG 3-4-43"
I 121,12547.1,2151714.3,9024,2612700,4A,1.1,0.6,1053,T02057,
01259-0015,12556.8,-151315.4,7889,3012728,,,,,T08790,
01260+3127,12600,31270015.5,7467,181-1,,,,,T21684,
01260-0159,12600,-1590015.1,6233,3612700,1B,1.6,0.6,1055,T10204,
01261+1625,12606.5,16255015,594,2010637,,1,0.9,1056,,
01262+3909,12608.3,39085415.4,8115,6010631,20,0.5,0.2,,,"North,IVZw47,Superposed Star"
01262+1843,12612,18430014.9,8385,371-1,,,,,T15291,
N 566,12612,32050014.6,5399,3112700,-2,1.5,0.35,1058,T21531,
01262+1331,12613.7,13320914.9,6395,3412700,4A,1.6,0.5,1057,T17373,
I 123,12616.7,2111715,9179,2612700,,,,,T02058,
01263+3918,12617.5,39175015.1,8114,181-1,,,,,T23085,
01263+1918,12618,19180014.9,12772,341-1,,,,,T13597,
01263+3910,12618.1,39100514.7,8263,1012212,5B,1.6,1,1059,,
01263+3325,12623,33244015.3,6605,912212,-1,0.7,0.5,,T19326,
01264+1926,12624,19260014.8,4985,331-1,,,,,T13598,
N 570,12625.6,-1122714.2,5491,3012700,1B T,2.5,1.7,1061,T02478,
01264-0049,12625.8,-491214,5472,2312700,20,1.6,0.9,1062,T00878,
N 569,12628.7,10522214.7,5780,2212700,15,1.1,0.5,1063,T21928,"KDG34A,MK997"
01268+4521,12647.3,45202713.7,5239,912212,5,1.9,1.2,1068,,KDG35A
01271+4043,12704.5,40425714.3,2807,510912,5,2.1,1.6,1070,,
01271+1640,12706,16400015,6006,291-1,,,,,T16938,
N 571,12706,32150015,4658,712212,20A,1.8,1.8,1069,,
01272-0130,12710.8,-1295614.7,5137,7111605,-2B,1.7,1.1,1072,,AK50
01272+4522,12711,45213415.1,12940,3013700,,0.8,,,,KDG35B
01273+2536,12721,25362715.3,3678,2010637,9B9,1.9,1.1,1073,,DDO11
01274+1855,12724,18550015.4,13622,1010650,,,,,T15149,
01276+1902,12736,19020015.4,13405,381-1,,,,,T15150,
01276+1646,12737.6,16455315.5,12928,2812700,20,1.1,0.3,1076,T16939,
01277+0209,12742,2090015.4,12983,2712728,,,,,T08729,
01278+1921,12748,19210015.5,12856,3012700,-3,1.2,0.8,1077,T13507,
01279+4025,12750.7,40244915.5,6297,201-1,,,,,T23238,
N 573,12753.4,40595813.5,2788,612212,15  P,0.45,0.4,1078,,
01280+1951,12800,19510015.5,12686,331-1,,,,,T13524,
N 575,12802.8,21105613.8,3148,612212,5B,1.9,1.8,1081,T00896,I1710
N 577,12807.9,-2150014.2,5935,1712700,1B,2.2,1.8,1080,S02077,
01282+0220,12812,2200015.5,5791,191-1,,,,,T24998,
I1711,12813.4,16555214.8,2808,1115502,3A,2.7,0.5,1082,T16940,
01283+1350,12818.4,13510914.7,4520,110651,3A,1.6,0.8,1083,T17374,
01286+0941,12836,9410015.4,9555,2912700,,,,,T11472,
01286-0145,12836,-1450014.7,5289,7111605,-2B,,,,,
01287+3432,12843.2,34313315,4168,3812700,20,1,0.3,1086,T19327,
01288+1401,12848,14010015.1,4485,110651,5A,1.6,1.6,1087,T17375,
01288+4852,12848.2,48523215.4,6459,331-1,,,,,T25097,
01289+3827,12852.5,38273614.8,11156,3212700,3A,1.2,1.1,1090,T21818,
N 579,12855.8,33213113.6,4993,412212,7,1.7,1.6,1089,,
01291+1719M,12906,17190015,8367,31H2700,0,1.8,1.4,01093B,T17792,Middle Comp
01291+1820,12906,18200015,25200,10502,,,,,,AK52
N 582,12907,33130813.7,4351,412212,5,2.2,0.6,1094,T02143,
N 585,12909.2,-1112014.2,5389,2512700,1A,2.7,0.8,1092,T02181,
01291+3258,12911.9,32570715.4,10506,912212,,0.8,0.3,,T21636,
01292+3255,12913.8,32551915.1,10207,10513,,,,,,MK1156
01294-0228,12924,-2280015.3,18008,3312728,,,,,T10193,
01295+4909,12931.3,49085315,5171,321-1,,,,,T25238,
01295+2110,12933.1,21091614.8,9893,4312700,4B,1.1,0.6,1098,T13525,
01297+4144,12938.5,41434715.5,5970,3212700,-2,1.2,1.2,1101,T23002,VZw77
N 587,12941.3,35060713.7,4541,3012700,3X,2.2,0.8,1100,T21614,
01297+1923,12946,19224715.3,12858,321-1,,1.1,1.1,1099,T13492,
01298+0337,12948,3370015.3,8904,251-1,,,,,T24999,
01300+0420A,12953.4,4202114.8,1954,1H0651,9,1.2,0.6,01102A,,"KDG36A,Arp306B,VV173A"
01300+1804,13000.6,18033314.3,686,110651,10,1.2,0.8,1104,T02088,
I 138,13024,-570014.9,4588,7111605,5A,1.4,1.1,1106,,
01304+4441,13028.8,44410515.4,5112,6013700,,0.6,,,,KDG37A
N 591,13038.8,35244314,4553,912212,0B,1.4,1.1,1111,T02781,MK1157
N 590,13041.2,44402314.2,5058,3013700,0B,3.6,1.8,1109,,KDG37B
01307+1305,13042,13050015.3,2766,110651,5A,2,0.6,1110,T19841,
01308+0250,13048,2500015,1688,4512728,,,,1112,T10200,
01308+2052,13048,20520015.5,12528,301-1,,,,,T13489,
I1715,13054.9,12194814.5,4176,912212,10,0.7,0.5,1115,T02119,
01310-0121,13101.6,-1204915.2,4720,2512452,20,1.1,0.22,1116,,
N 598,13101.7,302415 6.5,-180,110100,5A4s,73,45,6.2601117 0.84,T19380,"M33,Triangulum"
01312+0318,13108,3171314.8,3515,410639,8A,2.5,0.7,1118,,
01314+3148,13124,31480014.9,13270,441-1,,,,,T21675,
01315-0120,13129.4,-1195314.9,4664,812452,1B,2.3,0.6,1120,T02069,
01315+3224,13130,32240015.4,5077,371-1,,,,,T21658,
01315+5510,13130,55100015.3,7643,221-120,5,0.8,0.7,01124B,,
01316-0117,13134.6,-1171714.4,4916,2012452,2A,1.5,0.5,1123,T02068,
01317+1934,13142,19340015.3,10766,511-1,,,,,T13508,
01320+3347,13157.1,33464414.3,4444,321-1,20,0.6,0.55,1125,T21689,
N 605,13205.5,40593314.3,5111,3012700,-2,2.2,1.1,1128,T19926,
N 606,13206.3,21094014.5,9972,1112212,5B,1.7,1.5,1126,T02190,
01321+3340,13206.4,33400415.5,5306,361-1,,,,,T21690,
01321+3448,13207,34470114.9,4585,1012212,,1.4,1.2,,,MK1158
01322+1150,13212,11500015.3,7909,2912700,-2,1.2,0.7,1129,T11473,
01323+3047,13218,30470015.5,10481,251-1,,,,,T21517,
01323+3227,13218,32270015.5,5148,541-1,,,,,T23524,
01324+3414,13224.4,34130215.4,5250,9112700,15,1.4,1.2,1131,M09217,Poor vel
01323+2139,13225.1,21383915.3,14163,3312754,,,,,T15151,
01324+3248,13226.5,32474215.2,20645,3112700,,,,,T21676,MK1159
01324+4718,13228.7,47173915.2,5327,1012212,9,1.4,1.2,1132,,
N 608,13237,33240814,5157,5013700,15,0.9,0.6,1135,,KDG38A
01326+3525,13238.8,35244915.5,5055,441-1,,,,,T21701,
01328+3513,13245.8,35124315.2,5136,361-1,,,,,T19602,
01329+0315,13254,3150015.5,12891,361-1,,,,,T23649,
01329+1141,13254,11410015,5822,2912700,3A,1.1,0.9,1139,T11474,
N 614,13300.6,33253613.9,5059,4513700,-1,1.6,1.5,1140,,KDG38B
01331-0014,13306,-140015.5,5237,3112728,,,,,T08698,
01332+3540,13316.3,35395415.4,11155,211-1,,,,,T21717,
N 622,13326.1,243014.1,5155,912212,4B T,2.1,1.7,1143,T17508,"MK571,UM343"
01336+1734,13336,17340015.5,5992,241-1,,,,,T17507,
01336+3940,13336.6,39400015.2,5676,1012700,3B,1.6,0.7,1145,T23039,
01338+0330,13348,3300015.3,1796,501-1,,,,,T23573,
N 621,13356,35152814.2,5150,2312700,-2B,1.8,1.6,1147,T04129,IVZw54
01340+8343,13400,83430015.5,4708,1012212,9,1.2,1.2,1148,,
N 620,13400,42040013.9,2463,191-1,15,1,1,1150,T23099,VZw81
N 628,13400.7,15315510.5,659,112812,5A1s,12,12,9.7501149,T21953,
01341+3144,13406.1,31440214.6,6617,612212,5,1.2,0.6,1152,,
01341-0138,13407,-1390015.1,13304,3212728,-3,1.1,0.9,1151,T08793,
N 631,13412,5350015,5634,2112712,-7,1.7,1.5,1153,T04241,
01344+2838,13428.1,28380614.4,7756,912212,0,0.9,0.8,1154,T03706,
01346+0438,13431.1,4375114.5,3184,110651,4,0.9,0.7,1155,T01990,
N 632,13441.1,5372313.5,3168,612212,-2,1.7,1.3,1157,T10305,MK1002
01351-0012,13503.5,-124815.5,4898,3612728,,,,1159,T08697,
01351+3435,13505.5,34340815.5,4559,821-2,,,,,M09875,
01353+0203,13512,2031115.5,16781,3412728,,,,,T10207,UM347
01352+3642,13512.1,36413115.4,5254,301-1,,,,,T23015,
01353+4124,13517.5,41240015.1,11103,3412700,3B,1.6,1.6,1162,T21879,
01353+3621,13519.8,36211715,5118,371-1,,1,0.9,1161,T21880,
01354+0045,13524,450015.5,12945,3412728,,1,0.9,1163,T08753,
N 634,13525.3,35064014,4874,2712700,1A,2.2,0.7,1164,T15888,I 135
01355+2010,13530,20100015.5,10778,371-1,,,,,T13713,
I1718,13536,33070015,4541,301-1,,,,,T21615,
01358+0716,13541.5,7164714.8,4303,812212,6A T,2.8,2.2,1167,,
01357+3445,13541.8,34441814,4785,3812700,,1.5,0.45,1166,T21600,
01361+4802,13604.4,48014415.3,5467,651-1,,,,,T25250,
01362+1446,13612,14460015.5,8403,2712700,,,,,T17615,
01363+0050,13612.7,490614.2,4992,3412700,-2,1.4,0.6,1169,T02048,
01366+3335,13638.6,33341615.5,4821,191-1,,,,,T21718,
01366+3455,13639.7,34542115.4,5168,410661,,1,0.2,521063,T21719,
N 638,13700.6,6590514.4,3178,3012700,-5,0.9,0.6,1170,T01991,"MK1003, 3650 8 (2212)"
01370+3410,13704.3,34092014.9,4259,221-1,,,,,T21750,
01371+0532,13706,5320015,3263,2912700,15,1,0.2,1172,T23571,
01373-0217,13714.2,-2172915.1,18528,4012728,4A,1.3,0.6,1174,T10162,
N 645,13732.3,5283013.8,3311,110658,4B,3,1.3,1177,T19842,
01376+4310,13732.8,43103115.5,10368,361-1,,,,,T26929,
01376+3423,13734.8,34222214.8,5502,812212,5,2,0.3,1178,T19801,
01376+4535,13739.1,45345415.1,5167,341-1,,,,,T26974,
01377-0045,13742,-450015.2,5116,3812728,,,,,T10147,
01380+2035,13800,20350014.9,10580,281-1,,,,,T13619,
N 652,13805.2,7433814.7,5313,3212700,20,1.2,0.7,1184,T13505,
01382+4445,13811.5,44445715,9929,441-1,,1.5,0.9,1185,T23100,
01384+3434,13822.1,34333414.7,5092,310661,3,1,0.7,521068,T20062,
I1721,13846.6,8162414.3,4299,3712700,5,1.2,0.5,1187,T02093,
01393+0652,13918,6520015.5,5474,3712700,20,1.3,0.5,1189,T13504,
01394+2725,13924,27250015.3,15733,351-1,,,,,T15356,
N 658,13929.8,12210213.6,2988,310651,3,3.5,1.7,1192,T19888,
N 653,13931.7,35231214.1,5468,1410661,2A,1.6,0.22,1193,T19424,
N 656,13939.9,25533013.5,3916,2912700,-2,1.5,1.3,1194,T03617,
01397+1343,13946.4,13433013.9,759,312812,10,3.5,1.1,1195,T00860,
01398+1803,13948,18030715.3,2802,110651,10,2,0.6,1197,,
01398-0223E,13948,-2230015.3,10112,38H3700,,0.4,,,,KDG39A
01400-0104,14000,-1040015.3,5143,3812728,,,,,T10145,
01401+1254,14008.1,12541714.3,813,412812,10,2.1,1.5,1200,T05853,
01402+0750,14012,7500015.5,13800,10502,,,,,,AK54
01403+2730,14018,27300014.8,10156,912212,,,,,T15357,
N 660,14020.7,13233211.9,0  852,302212,1B P,10,4.5,11.5001201,T00859,
I 150,14021.8,3563714.9,5569,3812700,3A,1,0.55,1202,T16971,
01404+3620,14031.3,36201615.3,14651,321-1,,,,,T23088,
I1723,14035.9,8381714.2,5532,812212,3A,3.6,0.9,1205,S03704,
01406+0402,14036,4020015.5,5621,4112700,4A,1.4,0.4,1204,T16972,
01407+1139,14042,11390015.3,8441,3012700,15,1.8,1,1206,T11699,
01407+3021,14042,30210015.5,9545,391-1,,,,,T21735,
01408+1408,14048,14080015.5,7204,3612700,,,,,T16733,
01408+2842,14048,28420015.4,7939,321-1,,,,,T15378,
01400+8501,14054.1,85003415.1,1152,2510809,15,1,0.8,1198,T12014,
01410+2855,14057.5,28550015.3,4014,912212,,0.7,0.7,,T15379,
01411+1155,14105.3,11544615,4913,910639,8:00 PM,1.5,0.7,1209,,MK572
N 664,14110.1,3581313.9,5425,510620,3,1.8,1.5,1210,T19889,
01412+1648,14113.9,16484714.7,8034,512212,11:00 PM,0.5,0.5,,,"MK360,IIIZw33"
01412+3409,14114.5,34081314.5,10752,410661,3A,1.7,1.4,1212,T21720,
01413+3105,14118,31043314.9,10469,2912700,-2,1,0.9,1213,T19588,
01414+0206,14122.9,2055614,5174,2312700,-2X,1.7,1.6,1214,S20015,"Sy2,MK573,UM363"
N 661,14125,28272413,3817,612324,-7,2,1.6,12.7701215,T10124,
01416+1200,14136,12000015.5,10241,4612700,4B,1,0.5,1218,T12031,
01416+1713,14137.9,17133513.6,4611,810620,20B,1.4,0.6,1219,T00542,
N 662,14139.2,37264313.6,5654,410661,2,0.8,0.45,14.700122,,VZw98
01417+3757,14141.6,37570815,11095,810661,4A,1.3,0.9,1221,T23052,
01417+3534,14143.9,35332215.3,4340,331-1,,,,,T19603,
01417+3425,14144.4,34243715,5672,1610661,3,0.8,0.2,521074,T20063,
01418+1210,14148,12100015.2,8104,3412700,,,,,T11953,
01418+2140,14152.6,21404015.3,10464,912212,,,,,T15092,
01421+2138,14203.9,21374015.2,10508,912212,,,,,T15093,
01421+0439,14206,4390015.5,1606,191-1,0,0.9,0.3,,T25215,
N 665,14217,10102013.5,5420,2012700,-2,2.4,1.6,1223,T00858,
01424+2532,14224,25320015.4,3344,381-1,,,,,T15301,
I1725,14224,21310015.3,3824,321-1,,,,,T15103,
01424+3401,14227.5,34004415.2,5404,221-120,,,,,30197,
01425+2829,14232,28281915.1,3959,912212,20,1.8,0.8,1228,,
01426+1006,14236,10060015.5,5500,3512700,,,,,T11642,
I 154,14236,10240014.8,5544,3212700,3A,1.3,0.22,1229,T11643,
I1726,14242,4220014.8,5361,3912700,,,,,T07342,
I 156,14248,10180015,5339,2612700,20,1.8,1.6,1231,T11644,
01429+2834,14252.5,28333314.7,7842,912212,5A,1,0.7,1233,,
01429+3452,14257.5,34513014.8,5662,310661,5X,1.2,0.7,1234,,
01430+0307,14300,3070014.9,5335,3312700,4,,,1235,T02257,
N 666,14312.2,34072713.6,4733,2712700,15,0.8,0.5,1236,T19619,VIZw26
01433+0934,14318,9340015.5,5113,3412700,2A,1.8,0.8,1237,T12101,
N 668,14327.5,36123813.5,4498,210661,3,2.2,1.6,1238,,
01435+0610,14332.9,6105115.1,5377,3212700,20,1.3,1.1,1239,T13493,
01435+3441,14333.2,34404014.7,5535,410661,3:00 PM,0.5,50.2,8     522002,,MK1006
01437+0401,14344.8,4005314.9,1803,410639,20,1.3,0.5,1240,,
01440+2413,14400,24130015.5,3128,912212,20,1.4,0.6,1244,,
01440+3309,14400.1,33084615.2,11179,912212,4,0.9,0.6,503021,,
01440+1819,14402.4,18192715,9094,2712700,-1,1.5,0.8,1243,T13490,
01440+3432,14402.6,34312215.2,4202,1310661,3,0.4,50.3,7     522003,T19671,VZw106
01441+3151,14403.8,31515114.8,10497,3710661,3,0.9,0.4,503023,T26803,"MCG 5-5-10,14700 43(2700)"
01441+2830,14407.5,28302715.2,10761,912212,,0.9,0.7,,T15284,MCG 5-5-11
01442+1110,14412,11100015,5220,2912700,20,1.8,1.1,1245,T11510,
N 671,14418.8,12523714.3,5460,2812700,4,1.7,0.6,1247,T02121,
01443+1210,14420.8,12091315.1,803,912812,10,1.6,1.6,1246,,
N 669,14421,35185012.9,4674,510661,2A,3.3,0.7,1248,,
01446+3547,14434.9,35471315,4847,812212,3:00 PM,1,0.5,1251,,
N 670,14435.8,27381613,4 3703,922212,-2A,2.2,0.8,13.000125,T15823,3738 38 (3528)
I1727,14441.6,27045512.2,428,3312700,9B6s,8,3,12.1001249,T03930,"VV338,337 4 (2212),KDG40A"
01448+0235,14448,2350014.9,7121,2612700,,,,,T02476,
01448+3446,14449.1,34462715,5559,210661,5,0.9,0.9,522006,,MCG 6-5-5
01448+1152,14450.2,11512115.5,6553,4112700,20,1.6,0.7,1253,T11613,
01450+2519,14500,25190015.2,12257,912212,,,,,T15377,MCG 4-5-10
N 672,14504.2,27110511.4,421,312212,6B5s,7.2,2.8,11.3501256,T13923,"VV338,KDG40B"
01452+3612,14511.2,36121315,4660,310661,2,1.1,0.5,1257,,
01455+1830,14530,18300015.2,5843,241-1,,,,,S19631,
A0145+3607,14535,36072415.3,14638,6092445,,0.3,0.3,,,
N 673,14542.9,11162813.3,5182,412212,5X s,2.3,1.7,1259,T15826,
01458+1310,14551.5,13105915.5,5080,3212700,5A,1.4,0.3,1261,T16848,5013 8 (0651)
01458+1221,14552.8,12215114,5488,612212,1B P,0.9,0.7,1260,T15825,MK575
01460+2000A,14603.6,20010214.7,8921,29H2700,3A,0.9,0.6,01265A,T02090,"North Comp,KDG41A"
I 162,14604.5,10153514.2,5354,3312712,-1,1,0.7,1266,T04243,"VV54,MK1007,Arp228"
01462+3444,14610.9,34440515.4,3769,3012700,-3,1.1,0.7,1269,T21702,
01462+1020,14612,10200015.3,5091,2712700,20,1,0.2,1268,T04269,
01462+1016,14614.2,10162314.8,5160,3112712,-2,1.7,1.7,1267,T04244,VV54
01463+1257,14618,12570014.6,5086,2612700,-2B,1.7,1.1,1271,T15842,
N 676,14620.6,5393310.5,1506,310651,0,5,1.8,1270,T17655,
01463+3450,14621.2,34492614.3,5005,2212731,-2,1.5,0.9,1272,T04130,"AK58,3913 22 (0661)"
01464+3443,14623.2,34430915.4,4014,1612700,-3,1.1,0.7,,T21704,AK59
N 675,14628,12484015.5,5335,3012700,20,1.2,0.5,1273,T15843,
01465+3444,14629.7,34433215.5,4019,310661,3,0.5,0.4,522013,T21703,VZw113
01465+1236,14630,12360015.2,7873,3112700,1A,1.7,0.7,1274,T12159,
I 163,14630.3,20274813.8,2749,110658,8B,2,0.9,1276,T00827,
01465+3512,14630.6,35121614.5,4146,610661,0,2,1.2,1277,,
N 677,14633.3,12482314.3,5100,2212700,-7,2,2,1275,T02205,
01465+0523,14633.8,5232915.2,5302,4010300,,,,,,MK576
01467+3220,14638.9,32203313,156,110912,,,,1281,,
N 678,14639.3,21445813.3,2835,412212,3,5,1.1,1280,T03620,
01467+1307,14642.8,13071415.3,4580,3712700,20,1,0.25,1279,T12102,
N 679,14648.2,35321513.1,5049,912324,-3,1.8,1.8,13.0601283,T02780,VZw114
01468+1215,14649.4,12154014.2,5221,2512700,0,1.6,0.7,1282,T03931,MK577
N 680,14701,21432413,2800,612212,-7,2.7,2.4,12.4401286,S02784,
N 683,14706.5,11271314.8,5232,3612700,20,1,1,1288,T10289,
I1730,14711.9,21455215.5,2959,231-120,,,,,30197,
01473+0325,14718.6,3261015.5,14562,3812700,,,,,T02700,
A0147+3558,14718.6,35585415.4,5175,3194202,,0.4,0.3,,,25011 58 (2700)
01473+1134,14722.4,11335515.1,5227,3612700,4A,1,0.7,1290,T11509,
I1731,14723.3,26565814.2,3426,3912700,5A,1.7,1.1,1291,T03651,
01474+0150,14724,1500015,14146,3312700,2,,,1293,T02499,
N 684,14724.6,27240113.2,3533,610611,3,3.4,0.9,1292,T15824,I 165
01475-0059,14730,-590015.5,5217,3112700,20,1,0.22,1296,T03703,
01476+0203,14736,2034715.2,1698,2013542,10B,1.2,0.9,1297,T02500,UM372
A0147+3601B,14736,36015415.2,24083,6094202,,0.4,0.4,,,
N 687,14737.1,36072413.3,5091,1 812324,-2,1.4,1.4,13.0401298,,
01470+8627,14740,86254914.5,4655,2010631,5,1.5,1.2,1285,T17814,
01477+3248,14742,32480015.4,10257,331-1,1,,,,T19144,VIZw58
01477+3323,14742,33230015.3,15044,301-1,1,,,,T19243,
01478+3330,14746.8,33294015,5611,3910002,,,,,,"VZw120,MK1008"
N 688,14748.8,35021413.3,4151,310661,3B,2.6,1.7,1302,,MK1009
I1733,14749.4,32500414.7,10699,2812700,-7,1.5,1.4,1301,T19145,
I1732,14752.1,35410715.1,4889,10012102,20,1.7,0.5,1307,,
01479+3218,14753.5,32181315,11334,912212,-2,1.3,1.1,1306,T19149,
N 693,14753.9,5535113.5,1567,510620,0,3.2,1.6,1304,T05955,
01479+3601,14755.1,36014014.5,5171,813528,-5,2.3,2.3,1308,,"KDG42A&B,KDG A=Superposed *?"
N 691,14755.8,21304513.5,2665,312212,4,3.8,2.7,1305,T00780,
I1736,14809.7,18031315,5097,3912700,4A,1.4,0.35,1309,T13794,
01482+1218,14812,12180015.2,7880,3712700,,,,,T17656,
N 694,14812,21450013.9,2949,412212,-2  P,0.55,0.35,1310,T15859,"MK363,VZw122"
01483+3223,14818,32230015.5,11459,301-1,,,,,T19150,
01483+1303,14822,13024815.1,5185,3812700,20,1.5,0.4,1312,T11673,
I 167,14822.2,21400114,2934,312212,5X s,3,1.7,1313,T00781,
A0148+3448A,14823.2,34482615.5,26541,1992700,,0.5,0.3,,,
01484+3437,14823.6,34372915.5,5048,311-1,,,,,T20064,
N 695,14828.1,22201013.7,9734,512212,5,0.5,0.45,1315,T04491,VZw123
01485+3247,14830,32470215.4,10411,2612700,-7,1.2,0.9,1318,T19146,
