Name,RA (1950),Dec m_Zw,V_h,sig sour,Ty,D1,D2,BT   UGC,CfARFN,Comments
16209+3829,162049.4,38285714.9,8729,3612700,1:00 PM,,,,T08194,MK879
16209+1906W,162055.1,19071415.4,10882,21H2700,,,,,T24344,WEST
16209+1703,162056,17025115.1,10308,3512700,-2,1,1,10360,T24210,
16210+2639,162059.7,26391115.5,11929,3912736,1:00 PM,,,,T11077,
16210+3740,162100.3,37401215,9088,3612700,-2  P,,,,T08440,
16210+4335,162102.8,43344815.3,9550,3012700,,,,,T08193,
16211+0758,162106.7,7575515.4,10782,5512700,,,,,T26103,
16211+5724,162110.7,57231315.2,9298,2412700,-2,1.4,0.7,10361,240695,
16212+3955,162112.6,39542515.4,9628,610661,3B,1.6,0.8,10362,T08172,9631 (0913)
16212+3804,162113.5,38035215.5,9768,2612700,-1A r,,,,T06518,"2,HOLM744B"
N6137,162116.9,38021614.1,9306,2112700,-3,1.9,1.2,10364,T00418,*HOLM744A
N6132,162117.9,11540114.8,4961,912212,2A,1.6,0.5,10363,T16518,
16213+3557,162118.1,35571015.3,9638,3412767,2X r,,,,T12663,
16213+0952,162118.2,9513815.2,10399,2912700,,,,,T16649,
16214+0954,162121.7,9540915.3,10207,2812700,,,,,T16652,
16216+7358,162129.5,73585614.8,7433,3112779,-3,1.1,0.3,10368,250995,
N6142,162133.7,37222314.8,10232,3112700,3A r,1.9,0.45,10366,T08466,PGC57984
16216+4002,162133.8,40020514.6,9676,3812700,3B,1.3,1.3,10367,T08192,9682 (1140)
16216+2435,162133.8,24351915.4,11623,3512700,,,,,T11428,
16215+5642,162135.5,56420915.5,9434,1812700,,,,,300495,
16218+4146,162143.2,41455715.3,8205,3912729,,,,,T08468,8237 (1140)
16217+1350,162144.7,13503315.5,10084,3512700,,,,,T16615,
16218+3507,162147.6,35073215.1,10090,3812700,1,,,,T12535,
16219+4150,162148.2,41491515,8405,2812700,,,,,T08287,8351 (1140)
16218+3915,162148.5,39140814.9,10574,2712700,,,,,T08285,10595 (1140)
16218+0919,162148.6,9194415.4,12682,5212779,,,,,T21119,
16218+2155,162149.2,21561215.5,9629,710661,3,0.4,0.2,138005,T11398,
16218+2230,162150.2,22303015,11097,310661,-2,1,0.7,138006,T11397,
16221+4551,162203.9,45513715.3,1892,4012700,1A,1.1,0.25,10370,T14867,
16220+2017,162204.2,20174915.2,11899,3412700,,,,,T20830,M3-42-4
16221+4112,162205.1,41114715.4,10250,12412,,,,15.75,,"MK699,IIIZw77"
16221+6435,162205.3,64355115.5,14256,2712779,,,,,260995,
16221+3620,162207.5,36203115.2,9858,3112700,1,,,,T08555,KDG495A
I1219,162215.4,19354715.4,10467,3211822,-2,1,0.4,10371,,KDG496A
16223+0717,162216.2,7174015.3,7676,1 002,6   1,0,0.15,10373,,
16222+3017,162219.6,30164015.4,14473,210661,5B R,1.1,0.7,10372,S11260,
16223+5106,162220.8,51050114.6,5967,1912700,1B,1.3,0.9,10374,290495,
16224+1936,162224.7,19371215.4,10785,2611822,,,,,,KDG496B
16224+0941,162225.6,9412415.3,9601,3612700,,,,,T16616,KDG497A
16225+0611,162226.4,6113515,11414,1912700,,,,,T26222,M+1-42-2
16224+0943,162226.9,9431915.5,10345,3112700,3A,1.4,0.2,10375,T16617,KDG497B
16225+1348,162231.7,13475415.5,8604,3712700,,,,,T16739,
16226+1830,162239.8,18300115.3,10809,1912700,,,,,T24211,
16230+5830,162307,58294315.5,9547,191-120,,,,,240695,
N6145,162321.6,41033515.1,8608,3312731,,,,,T08216,"A2197, 8584 (1140)"
16234+1635,162322,16333514.9,10336,3312700,,,,,M02321,AK502
16234+3235,162324.2,32335515.5,10864,3012700,0B r,,,,T12648,
N6146,162329.6,41001913.8,8738,2812760,-7,1.3,1,10379,T00400,*8909 (1140)
16234+5601,162329.8,56014015,9279,1812700,,,,,300495,
16236+1641,162333.2,16412115.5,8752,912212,1,1.7,0.3,10380,,
A1623+0301,162333.6,3010015.4,1546,3292700,,,,,T12948,IR128140
16238+3959,162343.4,39585814.9,8804,2812731,0,1.3,0.7,10381,T07179,"A2199-RS6, 8884 (1140)"
16239+1317,162358.3,13180515.3,5557,3412700,,,,,T16715,
16240+3943,162358.6,39424415.4,8952,2912731,,,,,T08214,"A2199-RS8, 9088 (1140)"
16242+4028,162407.4,40272415.3,8637,1012210,,,,,,"A2197,MK881"
N6150A,162408.4,40360214.9,8719,2812779,,,,,T07180,"A2197,B3-1624+405, 8813 (1140)"
N6154,162409.3,49570814,5982,2312700,1B R,2.2,2.2,10382,T04426,6072 (1140)
16242+3252,162414.7,32515015.4,10835,3012700,-2  P,,,,T12566,
16243+6437,162418,64372715.3,2765,1 002,8,1.4,0.7,10383,,PGC58052
16244+4812,162424.1,48124415.2,5908,2512700,,,,,T14866,
16244+0558,162424.7,5583315.5,10032,4012700,,,,,T26333,
16244+1141,162426.2,11412615,4970,912212,0,1.4,0.25,10384,T12951,
16244+0320,162427.5,3210715.5,7304,2812700,,,,,T26223,
16246+4005,162431.8,40044315.2,9728,4112731,,,,,T07178,A2199-RS20
16246+0910,162436.1,9094315.3,10230,2912700,,,,,T18810,
16246+0740,162436.7,7402015.2,7654,4312700,,,,,T26375,
16246+3547,162440.6,35465915,9928,3012700,1B r,,,,T12565,
N6157,162443.4,55282115.5,9392,2312700,,,,,300495,
N6155,162443.5,48284113,2418,2712729,1,1.4,0.9,10385,T12773,PGC58115
16248+1630,162447.2,16293415.1,4630,912212,1,1.7,0.6,10388,,
16248+0311,162447.5,3105815.1,8036,1812700,,,,,T26224,M+1-42-3
16248+0201,162448.3,2015615.2,9069,2010647,5A  1,0.3,0.2,10386,,
16248+1305,162454,13052515.3,4932,912212,5B,1,0.5,10387,,
16249+1426,162456.4,14270115.3,15144,3612700,,,,,T16430,
16250+4035,162458.3,40352215,10138,4112731,,,,,T07181,"A2197, 9772 (1140)"
